ID,DH/DM,GOAL,ELEMENT,DECISION,SOURCE,SOURCE TYPE,FREQUENCY,ELEMENT DESCRIPTION,DECISION DESCRIPTION,SOURCE DESCRIPTION,LEVEL
2302A,DM,Resource targeting,PROGCOVER,PROGCOVER,RPT CBO,Report,MONTHLY,Program Coverage,Program Coverage,CBO Report,District
2302A,DM,Resource targeting,PROGCOVER,PROGCOVER,PER COOR HIV,Person,MONTHLY,Program Coverage,Program Coverage,HIV Coordinator,District
2302A,DM,Resource targeting,PROGCOVER,PROGCOVER,PARTNER MSF,External Partner,MONTHLY,Program Coverage,Program Coverage,Doctors without Borders,District
2302A,DM,Resource targeting,PREVALENCE,PROGCOVER,RPT CBO,Report,MONTHLY,Prevalence Rate HIV,Program Coverage,CBO Report,District
2302A,DM,Resource targeting,PREVALENCE,PROGCOVER,PARTNER MSF,External Partner,MONTHLY,Prevalence Rate HIV,Program Coverage,Doctors without Borders,District
2302A,DM,Resource targeting,PREVALENCE,PROGCOVER,PER COOR HIV,Person,MONTHLY,Prevalence Rate HIV,Program Coverage,HIV Coordinator,District
2302A,DM,Program Efficiency,MI,JOINTSUP,MI,NA,MI,Missing Information,Joint Supervision,Missing Information,District
2302A,DM,Program Efficiency,MI,STAKEENGAGE,MI,NA,MI,Missing Information,Stakeholder Engagement,Missing Information,District
2303A,DH,Drugs,MI,NA,REG ART,Register,MONTHLY,Missing Information,NA,Anti-Retroviral Treatment Register,District
2303A,DH,Drugs,MI,NA,REG ART,Register,MONTHLY,Missing Information,NA,Anti-Retroviral Treatment Register,District
2303A,DH,Drugs,MI,NA,REG ART,Register,MONTHLY,Missing Information,NA,Anti-Retroviral Treatment Register,District
2303A,DH,Drugs,MI,NA,CARD STOCK,Register,MONTHLY,Missing Information,NA,Stock Card,District
2303A,DH,Drugs,MI,NA,CARD STOCK,Register,MONTHLY,Missing Information,NA,Stock Card,District
2303A,DH,Drugs,MI,NA,CARD STOCK,Register,MONTHLY,Missing Information,NA,Stock Card,District
2303A,DH,HTC,TEST HIV,NA,REG HTC,Register,MONTHLY,Test HIV,NA,HIV Testing and Counseling Register,District
2303A,DH,HTC,TEST HIV,NA,REG HTC,Register,MONTHLY,Test HIV,NA,HIV Testing and Counseling Register,District
2303A,DH,HTC,TEST HIVPOS,NA,REG HTC,Register,MONTHLY,Test HIV Positive,NA,HIV Testing and Counseling Register,District
2303A,DH,HTC,TEST HIVPOS,NA,REG HTC,Register,MONTHLY,Test HIV Positive,NA,HIV Testing and Counseling Register,District
2303A,DH,HTC,TEST HIVNEG,NA,REG HTC,Register,MONTHLY,Test HIV Negative,NA,HIV Testing and Counseling Register,District
2303A,DH,HTC,TEST HIVNEG,NA,REG HTC,Register,MONTHLY,Test HIV Negative,NA,HIV Testing and Counseling Register,District
2303A,DH,HTC,INIT ART,NA,REG HTC,Register,MONTHLY,Initiated on ART,NA,HIV Testing and Counseling Register,District
2303A,DH,HTC,INIT ART,NA,REG HTC,Register,MONTHLY,Initiated on ART,NA,HIV Testing and Counseling Register,District
2303A,DH,Linkage,TREAT ART,NA,REG ART,Register,MONTHLY,Treatment ART,NA,Anti-Retroviral Treatment Register,District
2303A,DH,Linkage,TREAT ART,NA,REG ART,Register,MONTHLY,Treatment ART,NA,Anti-Retroviral Treatment Register,District
2303A,DH,Retention,DONTKNOW,NA,DONTKNOW,NA,NA,Don't Know,NA,Don't Know,District
2303A,DH,VMMC,VMMC CIRCUMCISED,NA,REG OPD,Register,MI,VMMC Circumcised,NA,Out Patients Department Register,District
2303A,DH,VMMC,VMMC AGE,NA,REG OPD,Register,MI,VMMC Age,NA,Out Patients Department Register,District
2303A,DH,VMMC,VMMC RELIGION,NA,REG OPD,Register,MI,VMMC Religion,NA,Out Patients Department Register,District
2303A,DH,PMTCT,TEST HIV PREGNANT,NA,REG ANC,Register,QUART BI,Number of pregnant women tested for HIV,NA,Antenatal Care Register,District
2303A,DH,PMTCT,TEST HIV PREGNANT,NA,REG ANC,Register,QUART BI,Number of pregnant women tested for HIV,NA,Antenatal Care Register,District
2303A,DH,PMTCT,INIT ART,NA,REG ANC,Register,QUART BI,Initiated on ART,NA,Antenatal Care Register,District
2303A,DH,PMTCT,INIT ART,NA,REG ANC,Register,QUART BI,Initiated on ART,NA,Antenatal Care Register,District
2303A,DH,PMTCT,HIVEXPO INFANT,NA,REG ANC,Register,QUART BI,Number of infants exposed to HIV,NA,Antenatal Care Register,District
2303A,DH,PMTCT,HIVEXPO INFANT,NA,REG ANC,Register,QUART BI,Number of infants exposed to HIV,NA,Antenatal Care Register,District
2303A,DH,PMTCT,DEFAULT,NA,REG ANC,Register,QUART BI,Defaulters,NA,Antenatal Care Register,District
2303A,DH,PMTCT,DEFAULT,NA,REG ANC,Register,QUART BI,Defaulters,NA,Antenatal Care Register,District
2303A,DH,Resource targeting,DRUG CONSUMP,NA,MI,NA,QUART BI,Drug Consumption,NA,Missing Information,District
2305A,DM,Drugs,TREAT,DRUG SUPPLY,PARTNER MSF,External Partner,QUARTERLY,Patients Treated,Drug Supply,Doctors without Borders,District
2305A,DM,HTC,TEST HIVPOS INIT ART,TREATINIT,OFF HTC,Program Office or Location,MONTHLY,Number of individuals who tested HIV positive who initiate ART,Treatment Initiation,HIV Testing and Counseling Office,District
2305A,DM,HTC,TEST HIVPOS INIT ART,TREATINIT,OFF HTC,Program Office or Location,MONTHLY,Number of individuals who tested HIV positive who initiate ART,Treatment Initiation,HIV Testing and Counseling Office,District
2305A,DM,Linkage,REFER,REFER,REG ART,Register,QUARTERLY,Referral,Referral,Anti-Retroviral Treatment Register,District
2305A,DM,Linkage,REFER,REFER,PARTNER MSF,External Partner,QUARTERLY,Referral,Referral,Doctors without Borders,District
2305A,DM,Retention,DEFAULT,TREATINIT,REG BOOK,Register,QUARTERLY,Defaulters,Treatment Initiation,Booking Register,District
2305A,DM,Retention,DEFAULT,FOLLOWUP,REG BOOK,Register,QUARTERLY,Defaulters,Default Followup,Booking Register,District
2305A,DM,VMMC,MI,UPTAKE,MI,NA,MI,Missing Information,Increase Uptake/Demand Creation,Missing Information,District
2305A,DM,PMTCT,TEST HIV MOTHER,TREATINIT,REG HTC,Register,MONTHLY,Number of mothers tested for HIV,Treatment Initiation,HIV Testing and Counseling Register,District
2305A,DM,PMTCT,TEST HIV MOTHER,TREATINIT,REG HTC,Register,MONTHLY,Number of mothers tested for HIV,Treatment Initiation,HIV Testing and Counseling Register,District
2305A,DM,PMTCT,TEST HIV MOTHER,TREATINIT,REG HTC,Register,MONTHLY,Number of mothers tested for HIV,Treatment Initiation,HIV Testing and Counseling Register,District
2305A,DM,PMTCT,TEST HIVPOS MOTHER,TREATINIT,REG HTC,Register,MONTHLY,Mothers Tested HIV Positive,Treatment Initiation,HIV Testing and Counseling Register,District
2305A,DM,PMTCT,TEST HIVPOS MOTHER,TREATINIT,REG HTC,Register,MONTHLY,Mothers Tested HIV Positive,Treatment Initiation,HIV Testing and Counseling Register,District
2305A,DM,PMTCT,TEST HIVPOS MOTHER,TREATINIT,REG HTC,Register,MONTHLY,Mothers Tested HIV Positive,Treatment Initiation,HIV Testing and Counseling Register,District
2305A,DM,PMTCT,TEST HIV CHILD,TREATINIT,REG HTC,Register,MONTHLY,Number of children tested for HIV,Treatment Initiation,HIV Testing and Counseling Register,District
2305A,DM,PMTCT,TEST HIV CHILD,TREATINIT,REG HTC,Register,MONTHLY,Number of children tested for HIV,Treatment Initiation,HIV Testing and Counseling Register,District
2305A,DM,PMTCT,TEST HIV CHILD,TREATINIT,REG HTC,Register,MONTHLY,Number of children tested for HIV,Treatment Initiation,HIV Testing and Counseling Register,District
2305A,DM,Resource targeting,CONSULTDAY,STAFFING,RPT,Report,QUARTERLY,Daily Consultation,Staffing/Workload,Report,District
2305A,DM,Performance management,RETENTART,SUPERVISION,PARTNER MSF,External Partner,MONTH Q,Retention on ART,Supervision,Doctors without Borders,District
2305A,DM,Performance management,RETENTART,SUPERVISION,RPT EID,Report,MONTH Q,Retention on ART,Supervision,EID Report,District
2305A,DM,Performance management,TREAT B+,SUPERVISION,PARTNER MSF,External Partner,MONTH Q,Treat B+,Supervision,Doctors without Borders,District
2305A,DM,Performance management,TREAT B+,SUPERVISION,RPT EID,Report,MONTH Q,Treat B+,Supervision,EID Report,District
2305A,DM,Performance management,HIVEXPO CHILD,SUPERVISION,PARTNER MSF,External Partner,MONTH Q,Number of children exposed to HIV,Supervision,Doctors without Borders,District
2305A,DM,Performance management,HIVEXPO CHILD,SUPERVISION,RPT EID,Report,MONTH Q,Number of children exposed to HIV,Supervision,EID Report,District
2305A,DM,Program Efficiency,MI,SUPERVISION,MI,NA,MI,Missing Information,Supervision,Missing Information,District
2306A,DM,Resource targeting,DRUG SUPPLY,DRUG CONSUMP,CARD STOCK,Register,MONTHLY,Drug Supply,Drug Consumption,Stock Card,District
2306A,DM,Resource targeting,DRUG SUPPLY,DRUG CONSUMP,CARD STOCK,Register,MONTHLY,Drug Supply,Drug Consumption,Stock Card,District
2306A,DM,Resource targeting,DRUG CONSUMP,DRUG CONSUMP,CARD STOCK,Register,MONTHLY,Drug Consumption,Drug Consumption,Stock Card,District
2306A,DM,Resource targeting,DRUG CONSUMP,DRUG CONSUMP,CARD STOCK,Register,MONTHLY,Drug Consumption,Drug Consumption,Stock Card,District
2306A,DM,Resource targeting,DRUG CONSUMP,DRUG CONSUMP,REG OPD,Register,MONTHLY,Drug Consumption,Drug Consumption,Out Patients Department Register,District
2306A,DM,Resource targeting,DRUG CONSUMP,DRUG CONSUMP,REG OPD,Register,MONTHLY,Drug Consumption,Drug Consumption,Out Patients Department Register,District
2306A,DM,Resource targeting,DRUG SUPPLY,DRUG CONSUMP,REG OPD,Register,MONTHLY,Drug Supply,Drug Consumption,Out Patients Department Register,District
2306A,DM,Resource targeting,DRUG SUPPLY,DRUG CONSUMP,REG OPD,Register,MONTHLY,Drug Supply,Drug Consumption,Out Patients Department Register,District
2306A,DM,Program Efficiency,MI,PRIORITIZE,MI,NA,MI,Missing Information,Prioritization,Missing Information,District
2307A,DM,HTC,TESTKIT,PROTOADHERE,OFF HTC,Program Office or Location,MONTHLY,Test Kits Used,Protocol Adherence,HIV Testing and Counseling Office,District
2307A,DM,HTC,TESTKIT,PROTOADHERE,OFF HTC,Program Office or Location,MONTHLY,Test Kits Used,Protocol Adherence,HIV Testing and Counseling Office,District
2307A,DM,HTC,TESTKIT,PROTOADHERE,OFF HTC,Program Office or Location,MONTHLY,Test Kits Used,Protocol Adherence,HIV Testing and Counseling Office,District
2307A,DM,HTC,TESTKIT,PROTOADHERE,OFF HTC,Program Office or Location,MONTHLY,Test Kits Used,Protocol Adherence,HIV Testing and Counseling Office,District
2307A,DM,Linkage,CD4COUNT,TREATINIT,MI,NA,MI,CD4 Count,Treatment Initiation,Missing Information,District
2307A,DM,Linkage,TEST HIVPOS,TREATINIT,MI,NA,MI,Test HIV Positive,Treatment Initiation,Missing Information,District
2307A,DM,Performance management,MI,TEST RESULT,MI,NA,MI,Missing Information,Test Result Validity,Missing Information,District
2401A,DM,Drugs,DRUG CONSUMP,DRUG SUPPLY,OFF HMIS,Program Office or Location,MONTHLY,Drug Consumption,Drug Supply,Health Management Information System Office,District
2401A,DM,Drugs,DRUG CONSUMP,DRUG SUPPLY,OFF HMIS,Program Office or Location,MONTHLY,Drug Consumption,Drug Supply,Health Management Information System Office,District
2401A,DM,Drugs,DRUG CONSUMP,DRUG SUPPLY,OFF HMIS,Program Office or Location,MONTHLY,Drug Consumption,Drug Supply,Health Management Information System Office,District
2401A,DM,Drugs,DRUG CONSUMP,DRUG SUPPLY,FAC ART,Program Office or Location,MONTHLY,Drug Consumption,Drug Supply,ART Clinic,District
2401A,DM,Drugs,DRUG CONSUMP,DRUG SUPPLY,FAC ART,Program Office or Location,MONTHLY,Drug Consumption,Drug Supply,ART Clinic,District
2401A,DM,Drugs,DRUG CONSUMP,DRUG SUPPLY,FAC ART,Program Office or Location,MONTHLY,Drug Consumption,Drug Supply,ART Clinic,District
2401A,DM,Drugs,DRUG CONSUMP,CASELOAD,OFF HMIS,Program Office or Location,MONTHLY,Drug Consumption,Caseload,Health Management Information System Office,District
2401A,DM,Drugs,DRUG CONSUMP,CASELOAD,FAC ART,Program Office or Location,MONTHLY,Drug Consumption,Caseload,ART Clinic,District
2401A,DM,Drugs,TREAT,CASELOAD,OFF HMIS,Program Office or Location,MONTHLY,Patients Treated,Caseload,Health Management Information System Office,District
2401A,DM,Drugs,TREAT,CASELOAD,FAC ART,Program Office or Location,MONTHLY,Patients Treated,Caseload,ART Clinic,District
2401A,DM,HTC,TREAT HOSPITALMONTH,UPTAKE,RPT WARD,Report,MONTHLY,Treated In Hospital By Month,Increase Uptake/Demand Creation,Ward Report,District
2401A,DM,HTC,TREAT HOSPITALMONTH,UPTAKE,RPT WARD,Report,MONTHLY,Treated In Hospital By Month,Increase Uptake/Demand Creation,Ward Report,District
2401A,DM,HTC,TREAT HOSPITALMONTH,UPTAKE,RPT WARD,Report,MONTHLY,Treated In Hospital By Month,Increase Uptake/Demand Creation,Ward Report,District
2401A,DM,HTC,TREAT HOSPITALMONTH,UPTAKE,RPT WARD,Report,MONTHLY,Treated In Hospital By Month,Increase Uptake/Demand Creation,Ward Report,District
2401A,DM,HTC,TREAT HOSPITALMONTH,UPTAKE,RPT WARDAUDIT,Report,MONTHLY,Treated In Hospital By Month,Increase Uptake/Demand Creation,Monthly Ward Audit,District
2401A,DM,HTC,TREAT HOSPITALMONTH,UPTAKE,RPT WARDAUDIT,Report,MONTHLY,Treated In Hospital By Month,Increase Uptake/Demand Creation,Monthly Ward Audit,District
2401A,DM,HTC,TREAT HOSPITALMONTH,UPTAKE,RPT WARDAUDIT,Report,MONTHLY,Treated In Hospital By Month,Increase Uptake/Demand Creation,Monthly Ward Audit,District
2401A,DM,HTC,TREAT HOSPITALMONTH,UPTAKE,RPT WARDAUDIT,Report,MONTHLY,Treated In Hospital By Month,Increase Uptake/Demand Creation,Monthly Ward Audit,District
2401A,DM,HTC,TREAT HOSPITALMONTH,UPTAKE,SYS HMIS,Electronic System,MONTHLY,Treated In Hospital By Month,Increase Uptake/Demand Creation,HMIS,District
2401A,DM,HTC,TREAT HOSPITALMONTH,UPTAKE,SYS HMIS,Electronic System,MONTHLY,Treated In Hospital By Month,Increase Uptake/Demand Creation,HMIS,District
2401A,DM,HTC,TREAT HOSPITALMONTH,UPTAKE,SYS HMIS,Electronic System,MONTHLY,Treated In Hospital By Month,Increase Uptake/Demand Creation,HMIS,District
2401A,DM,HTC,TREAT HOSPITALMONTH,UPTAKE,SYS HMIS,Electronic System,MONTHLY,Treated In Hospital By Month,Increase Uptake/Demand Creation,HMIS,District
2401A,DM,HTC,TEST,UPTAKE,RPT WARD,Report,MONTHLY,Number of individuals tested,Increase Uptake/Demand Creation,Ward Report,District
2401A,DM,HTC,TEST,UPTAKE,RPT WARD,Report,MONTHLY,Number of individuals tested,Increase Uptake/Demand Creation,Ward Report,District
2401A,DM,HTC,TEST,UPTAKE,RPT WARD,Report,MONTHLY,Number of individuals tested,Increase Uptake/Demand Creation,Ward Report,District
2401A,DM,HTC,TEST,UPTAKE,RPT WARD,Report,MONTHLY,Number of individuals tested,Increase Uptake/Demand Creation,Ward Report,District
2401A,DM,HTC,TEST,UPTAKE,RPT WARDAUDIT,Report,MONTHLY,Number of individuals tested,Increase Uptake/Demand Creation,Monthly Ward Audit,District
2401A,DM,HTC,TEST,UPTAKE,RPT WARDAUDIT,Report,MONTHLY,Number of individuals tested,Increase Uptake/Demand Creation,Monthly Ward Audit,District
2401A,DM,HTC,TEST,UPTAKE,RPT WARDAUDIT,Report,MONTHLY,Number of individuals tested,Increase Uptake/Demand Creation,Monthly Ward Audit,District
2401A,DM,HTC,TEST,UPTAKE,RPT WARDAUDIT,Report,MONTHLY,Number of individuals tested,Increase Uptake/Demand Creation,Monthly Ward Audit,District
2401A,DM,HTC,TEST,UPTAKE,SYS HMIS,Electronic System,MONTHLY,Number of individuals tested,Increase Uptake/Demand Creation,HMIS,District
2401A,DM,HTC,TEST,UPTAKE,SYS HMIS,Electronic System,MONTHLY,Number of individuals tested,Increase Uptake/Demand Creation,HMIS,District
2401A,DM,HTC,TEST,UPTAKE,SYS HMIS,Electronic System,MONTHLY,Number of individuals tested,Increase Uptake/Demand Creation,HMIS,District
2401A,DM,HTC,TEST,UPTAKE,SYS HMIS,Electronic System,MONTHLY,Number of individuals tested,Increase Uptake/Demand Creation,HMIS,District
2401A,DM,HTC,TEST HIVPOS,UPTAKE,RPT WARD,Report,MONTHLY,Test HIV Positive,Increase Uptake/Demand Creation,Ward Report,District
2401A,DM,HTC,TEST HIVPOS,UPTAKE,RPT WARD,Report,MONTHLY,Test HIV Positive,Increase Uptake/Demand Creation,Ward Report,District
2401A,DM,HTC,TEST HIVPOS,UPTAKE,RPT WARD,Report,MONTHLY,Test HIV Positive,Increase Uptake/Demand Creation,Ward Report,District
2401A,DM,HTC,TEST HIVPOS,UPTAKE,RPT WARD,Report,MONTHLY,Test HIV Positive,Increase Uptake/Demand Creation,Ward Report,District
2401A,DM,HTC,TEST HIVPOS,UPTAKE,RPT WARDAUDIT,Report,MONTHLY,Test HIV Positive,Increase Uptake/Demand Creation,Monthly Ward Audit,District
2401A,DM,HTC,TEST HIVPOS,UPTAKE,RPT WARDAUDIT,Report,MONTHLY,Test HIV Positive,Increase Uptake/Demand Creation,Monthly Ward Audit,District
2401A,DM,HTC,TEST HIVPOS,UPTAKE,RPT WARDAUDIT,Report,MONTHLY,Test HIV Positive,Increase Uptake/Demand Creation,Monthly Ward Audit,District
2401A,DM,HTC,TEST HIVPOS,UPTAKE,RPT WARDAUDIT,Report,MONTHLY,Test HIV Positive,Increase Uptake/Demand Creation,Monthly Ward Audit,District
2401A,DM,HTC,TEST HIVPOS,UPTAKE,SYS HMIS,Electronic System,MONTHLY,Test HIV Positive,Increase Uptake/Demand Creation,HMIS,District
2401A,DM,HTC,TEST HIVPOS,UPTAKE,SYS HMIS,Electronic System,MONTHLY,Test HIV Positive,Increase Uptake/Demand Creation,HMIS,District
2401A,DM,HTC,TEST HIVPOS,UPTAKE,SYS HMIS,Electronic System,MONTHLY,Test HIV Positive,Increase Uptake/Demand Creation,HMIS,District
2401A,DM,HTC,TEST HIVPOS,UPTAKE,SYS HMIS,Electronic System,MONTHLY,Test HIV Positive,Increase Uptake/Demand Creation,HMIS,District
2401A,DM,HTC,TEST HIVPOS INIT ART,UPTAKE,RPT WARD,Report,MONTHLY,Number of individuals who tested HIV positive who initiate ART,Increase Uptake/Demand Creation,Ward Report,District
2401A,DM,HTC,TEST HIVPOS INIT ART,UPTAKE,RPT WARD,Report,MONTHLY,Number of individuals who tested HIV positive who initiate ART,Increase Uptake/Demand Creation,Ward Report,District
2401A,DM,HTC,TEST HIVPOS INIT ART,UPTAKE,RPT WARD,Report,MONTHLY,Number of individuals who tested HIV positive who initiate ART,Increase Uptake/Demand Creation,Ward Report,District
2401A,DM,HTC,TEST HIVPOS INIT ART,UPTAKE,RPT WARD,Report,MONTHLY,Number of individuals who tested HIV positive who initiate ART,Increase Uptake/Demand Creation,Ward Report,District
2401A,DM,HTC,TEST HIVPOS INIT ART,UPTAKE,RPT WARDAUDIT,Report,MONTHLY,Number of individuals who tested HIV positive who initiate ART,Increase Uptake/Demand Creation,Monthly Ward Audit,District
2401A,DM,HTC,TEST HIVPOS INIT ART,UPTAKE,RPT WARDAUDIT,Report,MONTHLY,Number of individuals who tested HIV positive who initiate ART,Increase Uptake/Demand Creation,Monthly Ward Audit,District
2401A,DM,HTC,TEST HIVPOS INIT ART,UPTAKE,RPT WARDAUDIT,Report,MONTHLY,Number of individuals who tested HIV positive who initiate ART,Increase Uptake/Demand Creation,Monthly Ward Audit,District
2401A,DM,HTC,TEST HIVPOS INIT ART,UPTAKE,RPT WARDAUDIT,Report,MONTHLY,Number of individuals who tested HIV positive who initiate ART,Increase Uptake/Demand Creation,Monthly Ward Audit,District
2401A,DM,HTC,TEST HIVPOS INIT ART,UPTAKE,SYS HMIS,Electronic System,MONTHLY,Number of individuals who tested HIV positive who initiate ART,Increase Uptake/Demand Creation,HMIS,District
2401A,DM,HTC,TEST HIVPOS INIT ART,UPTAKE,SYS HMIS,Electronic System,MONTHLY,Number of individuals who tested HIV positive who initiate ART,Increase Uptake/Demand Creation,HMIS,District
2401A,DM,HTC,TEST HIVPOS INIT ART,UPTAKE,SYS HMIS,Electronic System,MONTHLY,Number of individuals who tested HIV positive who initiate ART,Increase Uptake/Demand Creation,HMIS,District
2401A,DM,HTC,TEST HIVPOS INIT ART,UPTAKE,SYS HMIS,Electronic System,MONTHLY,Number of individuals who tested HIV positive who initiate ART,Increase Uptake/Demand Creation,HMIS,District
2401A,DM,HTC,TEST HIVPOS INIT ART,STAKEENGAGE,REG HTC,Register,MONTHLY,Number of individuals tested HIV positive who initiate treatment,Stakeholder Engagement,HIV Testing and Counseling Register,District
2401A,DM,HTC,TEST HIVPOS INIT ART,STAKEENGAGE,RPT HTC,Report,MONTHLY,Number of individuals tested HIV positive who initiate treatment,Stakeholder Engagement,HTC Report,District
2401A,DM,Linkage,TEST HIVPOS TREAT TB,INTEGRATE,OFF TB,Program Office or Location,BIANNUAL,Number of individuals with TB who tested HIV positive,Integrate Services,Tuberculosis Office,District
2401A,DM,Linkage,TEST HIVPOS TREAT TB,INTEGRATE,OFF ART,Program Office or Location,BIANNUAL,Number of individuals with TB who tested HIV positive,Integrate Services,ART Office,District
2401A,DM,Linkage,TEST HIVPOS TREAT TB,INTEGRATE,OFF HMIS,Program Office or Location,BIANNUAL,Number of individuals with TB who tested HIV positive,Integrate Services,Health Management Information System Office,District
2401A,DM,Retention,DEFAULT,DRUG SUPPLY,REG ART,Register,QUARTERLY,Defaulters,Drug Supply,Anti-Retroviral Treatment Register,District
2401A,DM,Retention,DEFAULT,DRUG SUPPLY,REG ART,Register,QUARTERLY,Defaulters,Drug Supply,Anti-Retroviral Treatment Register,District
2401A,DM,Retention,DEFAULT,INTEGRATE,REG ART,Register,QUARTERLY,Defaulters,Integrate Services,Anti-Retroviral Treatment Register,District
2401A,DM,Retention,DEFAULT,INTEGRATE,REG ART,Register,QUARTERLY,Defaulters,Integrate Services,Anti-Retroviral Treatment Register,District
2401A,DM,Retention,DEFAULT,INTEGRATE,REG ART,Register,QUARTERLY,Defaulters,Integrate Services,Anti-Retroviral Treatment Register,District
2401A,DM,Retention,DRUG SUPPLY,INTEGRATE,REG ART,Register,QUARTERLY,Drug Supply,Integrate Services,Anti-Retroviral Treatment Register,District
2401A,DM,Retention,DRUG SUPPLY,INTEGRATE,REG ART,Register,QUARTERLY,Drug Supply,Integrate Services,Anti-Retroviral Treatment Register,District
2401A,DM,Retention,DRUG SUPPLY,INTEGRATE,REG ART,Register,QUARTERLY,Drug Supply,Integrate Services,Anti-Retroviral Treatment Register,District
2401A,DM,VMMC,VMMC CIRCUMCISED,BARRIER,MEETING,Meeting or group,BIANNUAL,VMMC Circumcised,Address Barrier,Meeting,District
2401A,DM,VMMC,VMMC CIRCUMFREQ,BARRIER,MEETING,Meeting or group,BIANNUAL,VMMC Circumcision Frequency,Address Barrier,Meeting,District
2401A,DM,VMMC,VMMC CIRCUMFREQ,UPTAKE,PER STAKE,Person,BIANNUAL,VMMC Circumcision Frequency,Increase Uptake/Demand Creation,Stakeholder,District
2401A,DM,VMMC,VMMC COMPLICATION,UPTAKE,PER STAKE,Person,BIANNUAL,VMMC Complication,Increase Uptake/Demand Creation,Stakeholder,District
2401A,DM,PMTCT,DEFAULT,STUDY,REG CHAI,Register,MONTHLY,Defaulters,Facility Study Participation,Clinton Health Access Initiative Register,District
2401A,DM,PMTCT,DEFAULT,STUDY,REG EID,Register,MONTHLY,Defaulters,Facility Study Participation,Early Infant Diagnosis Register,District
2401A,DM,PMTCT,DEFAULT,STUDY,REG PMTCT,Register,MONTHLY,Defaulters,Facility Study Participation,Preventing Mother to Child Transmission Register,District
2401A,DM,PMTCT,TEST HIVPOS WOMEN,DEFAULT,REG CHAI,Register,MONTHLY,Number of women who test HIV positive,Defaulters,Clinton Health Access Initiative Register,District
2401A,DM,PMTCT,TEST HIVPOS WOMEN,DEFAULT,REG EID,Register,MONTHLY,Number of women who test HIV positive,Defaulters,Early Infant Diagnosis Register,District
2401A,DM,PMTCT,TREAT NVP,DEFAULT,REG CHAI,Register,MONTHLY,Treatment NVP,Defaulters,Clinton Health Access Initiative Register,District
2401A,DM,PMTCT,TREAT NVP,DEFAULT,REG EID,Register,MONTHLY,Treatment NVP,Defaulters,Early Infant Diagnosis Register,District
2401A,DM,Resource targeting,ATTENDCLIN,PROGTARGET,OFF HMIS,Program Office or Location,QUARTERLY,Client Attend Clinic,Program Targeting,Health Management Information System Office,District
2401A,DM,Resource targeting,ATTENDCLIN,PROGTARGET,OFF HMIS,Program Office or Location,QUARTERLY,Client Attend Clinic,Program Targeting,Health Management Information System Office,District
2401A,DM,Resource targeting,ATTENDCLIN,PROGTARGET,REG ART,Register,QUARTERLY,Client Attend Clinic,Program Targeting,Anti-Retroviral Treatment Register,District
2401A,DM,Resource targeting,ATTENDCLIN,PROGTARGET,REG ART,Register,QUARTERLY,Client Attend Clinic,Program Targeting,Anti-Retroviral Treatment Register,District
2401A,DM,Resource targeting,DEFAULT,PROGTARGET,OFF HMIS,Program Office or Location,QUARTERLY,Defaulters,Program Targeting,Health Management Information System Office,District
2401A,DM,Resource targeting,DEFAULT,PROGTARGET,OFF HMIS,Program Office or Location,QUARTERLY,Defaulters,Program Targeting,Health Management Information System Office,District
2401A,DM,Resource targeting,DEFAULT,PROGTARGET,REG ART,Register,QUARTERLY,Defaulters,Program Targeting,Anti-Retroviral Treatment Register,District
2401A,DM,Resource targeting,DEFAULT,PROGTARGET,REG ART,Register,QUARTERLY,Defaulters,Program Targeting,Anti-Retroviral Treatment Register,District
2401A,DM,Performance management,RPTRATE,GENRPT,SYS DHIS2,Electronic System,MONTH Q,Reporting Rate,Generate Report,DHIS2,District
2401A,DM,Performance management,RPTRATE,GENRPT,SYS DHIS2,Electronic System,MONTH Q,Reporting Rate,Generate Report,DHIS2,District
2401A,DM,Program Efficiency,TREAT ART,INTEGRATE,REG PARTNER,External Partner,QUART BI,Treatment ART,Integrate Services,Partner Register,District
2401A,DM,Program Efficiency,TREAT ART,INTEGRATE,REG PARTNER,External Partner,QUART BI,Treatment ART,Integrate Services,Partner Register,District
2401A,DM,Program Efficiency,TREAT ART,INTEGRATE,REG PARTNER,External Partner,QUART BI,Treatment ART,Integrate Services,Partner Register,District
2401A,DM,Program Efficiency,DEFAULT,INTEGRATE,REG PARTNER,External Partner,QUART BI,Defaulters,Integrate Services,Partner Register,District
2401A,DM,Program Efficiency,DEFAULT,INTEGRATE,REG PARTNER,External Partner,QUART BI,Defaulters,Integrate Services,Partner Register,District
2401A,DM,Program Efficiency,DEFAULT,INTEGRATE,REG PARTNER,External Partner,QUART BI,Defaulters,Integrate Services,Partner Register,District
2401A,DM,Program Efficiency,DEFAULT,FOLLOWUP,OFF HMIS,Program Office or Location,QUARTERLY,Defaulters,Default Followup,Health Management Information System Office,District
2401A,DM,Program Efficiency,DEFAULT,FOLLOWUP,REG ART,Register,QUARTERLY,Defaulters,Default Followup,Anti-Retroviral Treatment Register,District
2403A,DH,Drugs,TREAT ART,NA,RPT FACILITY,Report,QUARTERLY,Treatment ART,NA,Faciltiy Report,District
2403A,DH,Drugs,TREAT ART,NA,RPT FACILITY,Report,QUARTERLY,Treatment ART,NA,Faciltiy Report,District
2403A,DH,Drugs,TREAT ART,NA,RPT FACILITY,Report,QUARTERLY,Treatment ART,NA,Faciltiy Report,District
