Element Code,System,Table,Element,System Type,Level,HIV,Program Area,Goals,Overlap HIV,Goal1,Goal2,Goal3
1222A,DHA-MIS,DHA,Total women HIV positive,Electronic,Central,Y,HTC,2,-,HTC ,-,-
1223A,DHA-MIS,DHA,Total women in HIV care on Depo-Provera,Electronic,Central,Y,PMTCT,6,-,PMTCT,-,-
1224A,DHA-MIS,DHA,Transferred out,Electronic,Central,Y,ART,4,-,Retention,-,-
1225A,DHA-MIS,DHA,Transfers between sites,Electronic,Central,Y,ART,4,-,Retention,-,-
1226A,DHA-MIS,DHA,Transfers out (double counted),Electronic,Central,Y,ART,4,-,Retention,-,-
1227A,DHA-MIS,DHA,Transfusion reactions,Electronic,Central,Y,BS,-,-,-,-,-
1228A,DHA-MIS,DHA,Twin / multiple babies,Electronic,Central,Y,PMTCT,6,-,PMTCT,-,-
1229A,DHA-MIS,DHA,UD,Electronic,Central,Y,Q,Q,-,-,-,-
1230A,DHA-MIS,DHA,Unexpected growth (transfers in),Electronic,Central,Y,ART,4,-,Retention,-,-
1231A,DHA-MIS,DHA,Unexpexted growth (new starts),Electronic,Central,Y,ART,4,-,Retention,-,-
1232A,DHA-MIS,DHA,Uni-Gold HIV physical stock count,Electronic,Central,Y,OTHER,2,-,HTC ,-,-
1233A,DHA-MIS,DHA,Uni-Gold HIV stock card available,Electronic,Central,Y,OTHER,2,-,HTC ,-,-
1234A,DHA-MIS,DHA,Uni-Gold HIV stock card last entry date,Electronic,Central,Y,OTHER,2,-,HTC ,-,-
1235A,DHA-MIS,DHA,Uni-Gold HIV stock card last position,Electronic,Central,Y,OTHER,2,-,HTC ,-,-
1236A,DHA-MIS,DHA,Uni-Gold HIV1/2,Electronic,Central,Y,OTHER,2,-,HTC ,-,-
1237A,DHA-MIS,DHA,Units cross-matched for maternity,Electronic,Central,Y,Q,Q,-,-,-,-
1238A,DHA-MIS,DHA,Units cross-matched for other ward,Electronic,Central,Y,Q,Q,-,-,-,-
1239A,DHA-MIS,DHA,Units cross-matched for paediatrics,Electronic,Central,Y,Q,Q,-,-,-,-
1240A,DHA-MIS,DHA,Units transfused without adverse events,Electronic,Central,Y,Q,Q,-,-,-,-
1241A,DHA-MIS,DHA,Units with confirmed transfusion reactions,Electronic,Central,Y,Q,Q,-,-,-,-
1242A,DHA-MIS,DHA,Units with suspected transfusion reactions,Electronic,Central,Y,Q,Q,-,-,-,-
1243A,DHA-MIS,DHA,Unknown,Electronic,Central,Y,Q,Q,-,-,-,-
1244A,DHA-MIS,DHA,Unknown / other,Electronic,Central,Y,Q,Q,-,-,-,-
1245A,DHA-MIS,DHA,Unspec. TB within the last 24 months or current,Electronic,Central,Y,TB,4,-,Retention,-,-
1246A,DHA-MIS,DHA,Urban,Electronic,Central,Y,SYSATTR,-,-,-,-,-
1247A,DHA-MIS,DHA,Vacuum extraction,Electronic,Central,Y,Q,Q,-,-,-,-
1248A,DHA-MIS,DHA,vaginal tabs,Electronic,Central,Y,Q,Q,-,-,-,-
1249A,DHA-MIS,DHA,Valid previous test result,Electronic,Central,Y,Q,Q,-,-,-,-
1250A,DHA-MIS,DHA,Verified data left behind at site,Electronic,Central,Y,QUAL,8,-,Performance management ,-,-
1251A,DHA-MIS,DHA,vials,Electronic,Central,Y,Q,Q,-,-,-,-
1252A,DHA-MIS,DHA,Vincristine,Electronic,Central,Y,DRUG,1,-,Drugs,-,-
1253A,DHA-MIS,DHA,"Viral load: months on ART, bled, result recorded",Electronic,Central,Y,ART,4,-,Retention,-,-
1254A,DHA-MIS,DHA,Vit A given,Electronic,Central,Y,ART,4,-,Retention,-,-
1255A,DHA-MIS,DHA,Vit A not given,Electronic,Central,Y,ART,4,-,Retention,-,-
1256A,DHA-MIS,DHA,Vitamin A,Electronic,Central,Y,DRUG,1,-,Drugs,-,-
1257A,DHA-MIS,DHA,VMMC,Electronic,Central,Y,VMMC,5,-,VMMC ,-,-
1258A,DHA-MIS,DHA,VMMC - 1st month,Electronic,Central,Y,VMMC,5,-,VMMC ,-,-
1259A,DHA-MIS,DHA,VMMC - 2nd month,Electronic,Central,Y,VMMC,5,-,VMMC ,-,-
1260A,DHA-MIS,DHA,VMMC - 3rd month,Electronic,Central,Y,VMMC,5,-,VMMC ,-,-
1261A,DHA-MIS,DHA,VMMC Program,Electronic,Central,Y,VMMC,5,-,VMMC ,-,-
1262A,DHA-MIS,DHA,VMMC report check sums,Electronic,Central,Y,VMMC,5,-,VMMC ,-,-
1263A,DHA-MIS,DHA,VMMC report ver2,Electronic,Central,Y,VMMC,5,-,VMMC ,-,-
1264A,DHA-MIS,DHA,VMMC services report,Electronic,Central,Y,VMMC,5,-,VMMC ,-,-
1265A,DHA-MIS,DHA,"Waiting area clean, adequate seating",Electronic,Central,Y,QUAL,-,-,-,-,-
1266A,DHA-MIS,DHA,Wall chart job aids (set),Electronic,Central,Y,QUAL,-,-,-,-,-
1267A,DHA-MIS,DHA,Ward,Electronic,Central,Y,SYSATTR,-,-,-,-,-
1268A,DHA-MIS,DHA,Weight less 2500g,Electronic,Central,Y,Q,Q,-,-,-,-
1269A,DHA-MIS,DHA,Well lit,Electronic,Central,Y,QUAL,-,-,-,-,-
1270A,DHA-MIS,DHA,WHO stage 1 or 2,Electronic,Central,Y,ART,4,-,Retention,-,-
1271A,DHA-MIS,DHA,WHO stage 3,Electronic,Central,Y,ART,4,-,Retention,-,-
1272A,DHA-MIS,DHA,WHO stage 4,Electronic,Central,Y,ART,4,-,Retention,-,-
1273A,DHA-MIS,DHA,YesNo-,Electronic,Central,Y,SYSATTR,-,-,-,-,-
1274A,DHA-MIS,DHA,Young adults 15-24 years (Age group C),Electronic,Central,Y,Q,Q,-,-,-,-
1275A,DHA-MIS,DHA,Zomba,Electronic,Central,Y,SYSATTR,-,-,-,-,-
1276A,DHA-MIS,DHA,Zonal ART Program Supervisor,Electronic,Central,Y,OTHER,-,-,-,-,-
1277A,DHA-MIS,DHA,Zonal TB Program Supervisor,Electronic,Central,Y,OTHER,-,-,-,-,-
1278A,DHA-MIS,DHA,Zones,Electronic,Central,Y,SYSATTR,-,-,-,-,-
1279A,HMIS,DHIS,# OF HEALTH TALKS IN THIS QUARTER PROVIDED BY CLINICAL OFFICER,Electronic,District,N,-,-,-,-,-,-
1280A,HMIS,DHIS,# OF HEALTH TALKS IN THIS QUARTER PROVIDED BY DOCTOR,Electronic,District,N,-,-,-,-,-,-
1281A,HMIS,DHIS,# OF HEALTH TALKS IN THIS QUARTER PROVIDED BY HSA,Electronic,District,N,-,-,-,-,-,-
1282A,HMIS,DHIS,# OF HEALTH TALKS IN THIS QUARTER PROVIDED BY MA,Electronic,District,N,-,-,-,-,-,-
1283A,HMIS,DHIS,# OF HEALTH TALKS IN THIS QUARTER PROVIDED BY NURSE INT,Electronic,District,N,-,-,-,-,-,-
1284A,HMIS,DHIS,# OF HEALTH TALKS IN THIS QUARTER PROVIDED BY REGNURSE,Electronic,District,N,-,-,-,-,-,-
1285A,HMIS,DHIS,3 MONTHS REVIEW HIV,Electronic,District,Y,Q,-,-,-,-,-
1286A,HMIS,DHIS,A  OF THOSE ASSESSED # WITH SEVERE UNDERNUTRITION ANC PMTC,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1287A,HMIS,DHIS,A  OF THOSE ASSESSED # WITH SEVERE UNDERNUTRITION OPD,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1288A,HMIS,DHIS,A  OF THOSE ASSESSED # WITH SEVERE UNDERNUTRITION OTHER,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1289A,HMIS,DHIS,A  OF THOSE ASSESSED # WITH SEVERE UNDERNUTRITION PRE ART ART,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1290A,HMIS,DHIS,A  OF THOSE ASSESSED # WITH SEVERE UNDERNUTRITION TB,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1291A,HMIS,DHIS,ACUTE DIARRHEA DISEASES # OF COMMUNITY MEETINGS COMMEMORATION DAYS,Electronic,District,N,-,-,-,-,-,-
1292A,HMIS,DHIS,ACUTE DIARRHEA DISEASES # OF COMMUNITY MEETINGS COMMEMORATION DAYS FEMALES,Electronic,District,N,-,-,-,-,-,-
1293A,HMIS,DHIS,ACUTE DIARRHEA DISEASES # OF COMMUNITY MEETINGS COMMEMORATION DAYS MALES,Electronic,District,N,-,-,-,-,-,-
1294A,HMIS,DHIS,ACUTE DIARRHEA DISEASES # OF FILM SHOWS,Electronic,District,N,-,-,-,-,-,-
1295A,HMIS,DHIS,ACUTE DIARRHEA DISEASES # OF FILM SHOWS FEMALE,Electronic,District,N,-,-,-,-,-,-
1296A,HMIS,DHIS,ACUTE DIARRHEA DISEASES # OF FILM SHOWS MALES,Electronic,District,N,-,-,-,-,-,-
1297A,HMIS,DHIS,ACUTE DIARRHEA DISEASES # OF INTERACTIVE DRAMA FEMALES,Electronic,District,N,-,-,-,-,-,-
1298A,HMIS,DHIS,ACUTE DIARRHEA DISEASES # OF INTERACTIVE DRAMA MALES,Electronic,District,N,-,-,-,-,-,-
1299A,HMIS,DHIS,ACUTE DIARRHEA DISEASES # OF INTERACTIVE DRAMA SESSIONS,Electronic,District,N,-,-,-,-,-,-
1300A,HMIS,DHIS,ACUTE DIARRHEA DISEASES # OF ROAD SHOWS,Electronic,District,N,-,-,-,-,-,-
1301A,HMIS,DHIS,ACUTE DIARRHEA DISEASES # OF ROAD SHOWS FEMALES,Electronic,District,N,-,-,-,-,-,-
1302A,HMIS,DHIS,ACUTE DIARRHEA DISEASES # OF ROAD SHOWS MALES,Electronic,District,N,-,-,-,-,-,-
1303A,HMIS,DHIS,ACUTE DIARRHEA DISEASES FLIPCHART,Electronic,District,N,-,-,-,-,-,-
1304A,HMIS,DHIS,ACUTE DIARRHEA DISEASES LEAFLETS,Electronic,District,N,-,-,-,-,-,-
1305A,HMIS,DHIS,ACUTE DIARRHEA DISEASES NONE,Electronic,District,N,-,-,-,-,-,-
1306A,HMIS,DHIS,ACUTE DIARRHEA DISEASES POSTERS,Electronic,District,N,-,-,-,-,-,-
1307A,HMIS,DHIS,ACUTE DIARRHEA DISEASES TV DVDS,Electronic,District,N,-,-,-,-,-,-
1308A,HMIS,DHIS,ACUTE DIARRHOEAL DISEASES DISTRICT HOSPITAL,Electronic,District,N,-,-,-,-,-,-
1309A,HMIS,DHIS,ACUTE DIARRHOEAL DISEASES HEALTH CENTRE,Electronic,District,N,-,-,-,-,-,-
1310A,HMIS,DHIS,ACUTE DIARRHOEAL DISEASES HEALTH POST,Electronic,District,N,-,-,-,-,-,-
1311A,HMIS,DHIS,ACUTE DIARRHOEAL DISEASES OTHER,Electronic,District,N,-,-,-,-,-,-
1312A,HMIS,DHIS,ACUTE DIARRHOEAL DISEASES RURAL COMM HOSP,Electronic,District,N,-,-,-,-,-,-
1313A,HMIS,DHIS,ACUTE DIARRHOEAL DISEASES TOTAL# PROVIDED IN THIS QUARTER,Electronic,District,N,-,-,-,-,-,-
1314A,HMIS,DHIS,ACUTE FLACCID PARALYSIS UNDER 15 YEARS ADMISSION,Electronic,District,N,-,-,-,-,-,-
1315A,HMIS,DHIS,ACUTE FLACCID PARALYSIS UNDER 15 YEARS INPATIENT DEATH,Electronic,District,N,-,-,-,-,-,-
1316A,HMIS,DHIS,ACUTE PSYCHIATRIC DISORDER ADMISSION,Electronic,District,N,-,-,-,-,-,-
1317A,HMIS,DHIS,ACUTE PSYCHIATRIC DISORDER INPATIENT DEATH,Electronic,District,N,-,-,-,-,-,-
1318A,HMIS,DHIS,ACUTE PSYCHIATRIC DISORDER NEW,Electronic,District,N,-,-,-,-,-,-
1319A,HMIS,DHIS,ACUTE RESPIRATORY INFECTIONS # OF COMMUNITY MEETINGS COMMEMORATION DAYS,Electronic,District,N,-,-,-,-,-,-
1320A,HMIS,DHIS,ACUTE RESPIRATORY INFECTIONS # OF COMMUNITY MEETINGS COMMEMORATION DAYS FEMALE,Electronic,District,N,-,-,-,-,-,-
1321A,HMIS,DHIS,ACUTE RESPIRATORY INFECTIONS # OF COMMUNITY MEETINGS COMMEMORATION DAYS MALES,Electronic,District,N,-,-,-,-,-,-
1322A,HMIS,DHIS,ACUTE RESPIRATORY INFECTIONS # OF FILM SHOWS,Electronic,District,N,-,-,-,-,-,-
1323A,HMIS,DHIS,ACUTE RESPIRATORY INFECTIONS # OF FILM SHOWS FEMALES,Electronic,District,N,-,-,-,-,-,-
1324A,HMIS,DHIS,ACUTE RESPIRATORY INFECTIONS # OF FILM SHOWS MALES,Electronic,District,N,-,-,-,-,-,-
1325A,HMIS,DHIS,ACUTE RESPIRATORY INFECTIONS # OF INTERACTIVE DRAMA SESSIONS,Electronic,District,N,-,-,-,-,-,-
1326A,HMIS,DHIS,ACUTE RESPIRATORY INFECTIONS # OF INTERACTIVE DRAMA SESSIONS FEMALES,Electronic,District,N,-,-,-,-,-,-
1327A,HMIS,DHIS,ACUTE RESPIRATORY INFECTIONS # OF INTERACTIVE DRAMA SESSIONS MALES,Electronic,District,N,-,-,-,-,-,-
1328A,HMIS,DHIS,ACUTE RESPIRATORY INFECTIONS # OF ROAD SHOWS,Electronic,District,N,-,-,-,-,-,-
1329A,HMIS,DHIS,ACUTE RESPIRATORY INFECTIONS # OF ROAD SHOWS FEMALES,Electronic,District,N,-,-,-,-,-,-
1330A,HMIS,DHIS,ACUTE RESPIRATORY INFECTIONS # OF ROAD SHOWS MALES,Electronic,District,N,-,-,-,-,-,-
1331A,HMIS,DHIS,ACUTE RESPIRATORY INFECTIONS DISTRICT HOSPITAL,Electronic,District,N,-,-,-,-,-,-
1332A,HMIS,DHIS,ACUTE RESPIRATORY INFECTIONS FLIPCHART,Electronic,District,N,-,-,-,-,-,-
1333A,HMIS,DHIS,ACUTE RESPIRATORY INFECTIONS HEALTH CENTRE,Electronic,District,N,-,-,-,-,-,-
1334A,HMIS,DHIS,ACUTE RESPIRATORY INFECTIONS HEALTH POST,Electronic,District,N,-,-,-,-,-,-
1335A,HMIS,DHIS,ACUTE RESPIRATORY INFECTIONS LEAFLETS,Electronic,District,N,-,-,-,-,-,-
1336A,HMIS,DHIS,ACUTE RESPIRATORY INFECTIONS NONE,Electronic,District,N,-,-,-,-,-,-
1337A,HMIS,DHIS,ACUTE RESPIRATORY INFECTIONS OTHER,Electronic,District,N,-,-,-,-,-,-
1338A,HMIS,DHIS,ACUTE RESPIRATORY INFECTIONS POSTERS,Electronic,District,N,-,-,-,-,-,-
1339A,HMIS,DHIS,ACUTE RESPIRATORY INFECTIONS RURAL COMM HOSP,Electronic,District,N,-,-,-,-,-,-
1340A,HMIS,DHIS,ACUTE RESPIRATORY INFECTIONS TOTAL # PROVIDED IN THIS QUARTER,Electronic,District,N,-,-,-,-,-,-
1341A,HMIS,DHIS,ACUTE RESPIRATORY INFECTIONS TV DVDS,Electronic,District,N,-,-,-,-,-,-
1342A,HMIS,DHIS,ADMISSIONS FROM ALL CAUSES,Electronic,District,Y,OTHER,8,Y,Performance management ,-,-
1343A,HMIS,DHIS,ADOLESCENT 12 18 YEARS ADMISSIONS,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1344A,HMIS,DHIS,ADOLESCENT 12 18 YEARS DEFAULT  LOST TO FOLLOW UP  F,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1345A,HMIS,DHIS,ADOLESCENT 12 18 YEARS DIED H,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1346A,HMIS,DHIS,ADOLESCENT 12 18 YEARS MODERATE ADMISSIONS,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1347A,HMIS,DHIS,ADOLESCENT 12 18 YEARS MODERATE DEFAULT LOST TO FOLLOW UP  F,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1348A,HMIS,DHIS,ADOLESCENT 12 18 YEARS MODERATE DIED H,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1349A,HMIS,DHIS,ADOLESCENT 12 18 YEARS MODERATE NON RECOVERED  TREATMENT FAILURE  I,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1350A,HMIS,DHIS,ADOLESCENT 12 18 YEARS MODERATE RECOVERED  TRANSITIONED  E,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1351A,HMIS,DHIS,ADOLESCENT 12 18 YEARS MODERATE RECOVERED TRANSITIONED  E,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1352A,HMIS,DHIS,ADOLESCENT 12 18 YEARS MODERATE TOTAL AT THE END OF THE MONTH,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1353A,HMIS,DHIS,ADOLESCENT 12 18 YEARS MODERATE TOTAL AT THE START OF THE MONTH,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1354A,HMIS,DHIS,ADOLESCENT 12 18 YEARS MODERATE TOTAL WHO RECEIVED SUPPLEMENTARY,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1355A,HMIS,DHIS,ADOLESCENT 12 18 YEARS MODERATE TOTAL=E+F+H+I+J,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1356A,HMIS,DHIS,ADOLESCENT 12 18 YEARS MODERATE TRANSFERRED OUT J,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1357A,HMIS,DHIS,ADOLESCENT 12 18 YEARS NON RECOVERED  TREATMENT FAILURE  I,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1358A,HMIS,DHIS,ADOLESCENT 12 18 YEARS RECOVERED  TRANSITIONED  E,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1359A,HMIS,DHIS,ADOLESCENT 12 18 YEARS TOTAL AT THE END OF THE MONTH,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1360A,HMIS,DHIS,ADOLESCENT 12 18 YEARS TOTAL AT THE START OF THE MONTH,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1361A,HMIS,DHIS,ADOLESCENT 12 18 YEARS TOTAL WHO RECEIVED THERAPEUTIC AND OR SUPPLEMENTARY FOOD,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1362A,HMIS,DHIS,ADOLESCENT 12 18 YEARS TOTAL=E+F+H+I+J,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1363A,HMIS,DHIS,ADOLESCENT 12 18 YEARS TRANSFERRED OUT J,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1364A,HMIS,DHIS,ADULTS 19 YEARS OR OLDER ADMISSIONS,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1365A,HMIS,DHIS,ADULTS 19 YEARS OR OLDER DEFAULT  LOST TO FOLLOW UP  F,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1366A,HMIS,DHIS,ADULTS 19 YEARS OR OLDER DIED H,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1367A,HMIS,DHIS,ADULTS 19 YEARS OR OLDER MODERATE ADMISSIONS,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1368A,HMIS,DHIS,ADULTS 19 YEARS OR OLDER MODERATE DEFAULT LOST TO FOLLOW UP  F,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1369A,HMIS,DHIS,ADULTS 19 YEARS OR OLDER MODERATE DIED H,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1370A,HMIS,DHIS,ADULTS 19 YEARS OR OLDER MODERATE NON RECOVERED  TREATMENT FAILURE  I,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1371A,HMIS,DHIS,ADULTS 19 YEARS OR OLDER MODERATE RECOVERED  TRANSITIONED  E,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1372A,HMIS,DHIS,ADULTS 19 YEARS OR OLDER MODERATE TOTAL AT THE END OF THE MONTH,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1373A,HMIS,DHIS,ADULTS 19 YEARS OR OLDER MODERATE TOTAL AT THE START OF THE MONTH,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1374A,HMIS,DHIS,ADULTS 19 YEARS OR OLDER MODERATE TOTAL WHO RECEIVED SUPPLEMENTARY FOOD,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1375A,HMIS,DHIS,ADULTS 19 YEARS OR OLDER MODERATE TOTAL WHO RECEIVED THERAPEUTIC AND OR SUPPLEMENTARY FOOD,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1376A,HMIS,DHIS,ADULTS 19 YEARS OR OLDER MODERATE TOTAL=E+F+H+I+J,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1377A,HMIS,DHIS,ADULTS 19 YEARS OR OLDER MODERATE TRANSFERRED OUT,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1378A,HMIS,DHIS,ADULTS 19 YEARS OR OLDER NON RECOVERED  TREATMENT FAILURE  I,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1379A,HMIS,DHIS,ADULTS 19 YEARS OR OLDER RECOVERED  TRANSITIONED  E,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1380A,HMIS,DHIS,ADULTS 19 YEARS OR OLDER TOTAL AT THE END OF THE MONTH,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1381A,HMIS,DHIS,ADULTS 19 YEARS OR OLDER TOTAL AT THE START OF THE MONTH,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1382A,HMIS,DHIS,ADULTS 19 YEARS OR OLDER TOTAL WHO RECEIVED THERAPEUTIC AND OR SUPPLEMENTARY FOOD,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1383A,HMIS,DHIS,ADULTS 19 YEARS OR OLDER TOTAL=E+F+H+I+J,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1384A,HMIS,DHIS,ADULTS 19 YEARS OR OLDER TRANSFERRED OUT J,Electronic,District,Y,NUTRITION,3,Y,Linkage ,-,-
1385A,HMIS,DHIS,ALL OTHER COMMUNICABLE DISEASES ADMISSION,Electronic,District,N,OTHER,-,-,-,-,-
1386A,HMIS,DHIS,ALL OTHER COMMUNICABLE DISEASES INPATIENT DEATH,Electronic,District,N,OTHER,-,-,-,-,-
1387A,HMIS,DHIS,ALL OTHER COMMUNICABLE DISEASES NEW,Electronic,District,N,OTHER,-,-,-,-,-
1388A,HMIS,DHIS,ALL OTHER NON COMMUNICABLE DISEASES NEW,Electronic,District,N,-,-,-,-,-,-
1389A,HMIS,DHIS,ALL OTHER POSITIONS,Electronic,District,N,-,-,-,-,-,-
1390A,HMIS,DHIS,ALL OTHER SURGICAL CONDITIONS ADMISSION,Electronic,District,N,-,-,-,-,-,-
1391A,HMIS,DHIS,ALL OTHER SURGICAL CONDITIONS INPATIENT DEATH,Electronic,District,N,-,-,-,-,-,-
1392A,HMIS,DHIS,ALL OTHER SURGICAL CONDITIONS NEW,Electronic,District,N,-,-,-,-,-,-
1393A,HMIS,DHIS,AM NUM OF ASSETS REPORTEDLY IN NEED OF MANTAINANCE,Electronic,District,N,-,-,-,-,-,-
1394A,HMIS,DHIS,AM NUMBER OF ASSET LOSSES  INCLUDING THEFTS,Electronic,District,N,-,-,-,-,-,-
1395A,HMIS,DHIS,AM NUMBER OF ASSETS ACQUIRED,Electronic,District,N,-,-,-,-,-,-
1396A,HMIS,DHIS,AM NUMBER OF ASSETS DONATIONS RECEIVED,Electronic,District,N,-,-,-,-,-,-
1397A,HMIS,DHIS,AM NUMBER OF ASSETS MANTAINED,Electronic,District,N,-,-,-,-,-,-
1398A,HMIS,DHIS,AM TOT ESTIMATED VALUE OF ASSETS RECEIVED  PURCHASES AND DONATIONS,Electronic,District,N,-,-,-,-,-,-
1399A,HMIS,DHIS,AM TOTAL COST OF ALL ASSET REPAIRS INCURRED,Electronic,District,N,-,-,-,-,-,-
1400A,HMIS,DHIS,AM TOTAL ESTIMATED VALUE OF ALL ASSETS LOSSES,Electronic,District,N,-,-,-,-,-,-
1401A,HMIS,DHIS,ANAEMIA ADMISSION,Electronic,District,N,-,-,-,-,-,-
1402A,HMIS,DHIS,ANAEMIA INPATIENT DEATH,Electronic,District,N,-,-,-,-,-,-
1403A,HMIS,DHIS,ANAEMIA NEW,Electronic,District,N,-,-,-,-,-,-
1404A,HMIS,DHIS,ANC ART STATUS 1ST VISIT NOT ON ART,Electronic,District,Y,PMTCT,6,Y,PMTCT,-,-
1405A,HMIS,DHIS,ANC ART STATUS 1ST VISIT ON ART BEFORE ANC,Electronic,District,Y,PMTCT,46,Y,Retention,PMTCT,-
1406A,HMIS,DHIS,ANC ART STATUS 1ST VISIT START ART 0 27 WKS,Electronic,District,Y,PMTCT,46,Y,Retention,PMTCT,-
1407A,HMIS,DHIS,ANC ART STATUS 1ST VISIT START ART 28+ WKS,Electronic,District,Y,PMTCT,46,Y,Retention,PMTCT,-
1408A,HMIS,DHIS,ANC HIV STATUS 1ST VISIT NEW +VE,Electronic,District,Y,PMTCT,46,Y,Retention,PMTCT,-
1409A,HMIS,DHIS,ANC HIV STATUS 1ST VISIT NEW VE,Electronic,District,Y,PMTCT,46,Y,Retention,PMTCT,-
1410A,HMIS,DHIS,ANC HIV STATUS 1ST VISIT NOT DONE,Electronic,District,Y,PMTCT,46,Y,Retention,PMTCT,-
1411A,HMIS,DHIS,ANC HIV STATUS 1ST VISIT PREV +VE,Electronic,District,Y,PMTCT,46,Y,Retention,PMTCT,-
1412A,HMIS,DHIS,ANC HIV STATUS 1ST VISIT PREV VE,Electronic,District,Y,PMTCT,46,Y,Retention,PMTCT,-
1413A,HMIS,DHIS,ANC HIV TEST RESULT NEW +VE,Electronic,District,Y,PMTCT,46,Y,Retention,PMTCT,-
1414A,HMIS,DHIS,ANC HIV TEST RESULT NEW VE,Electronic,District,Y,PMTCT,46,Y,Retention,PMTCT,-
1415A,HMIS,DHIS,ANC HIV TEST RESULT NOT DONE,Electronic,District,Y,PMTCT,46,Y,Retention,PMTCT,-
1416A,HMIS,DHIS,ANC HIV TEST RESULT PREV +VE,Electronic,District,Y,PMTCT,46,Y,Retention,PMTCT,-
1417A,HMIS,DHIS,ANC HIV TEST RESULT PREV VE,Electronic,District,Y,PMTCT,46,Y,Retention,PMTCT,-
1418A,HMIS,DHIS,ANC NEW WOMEN REGISTERED,Electronic,District,Y,PMTCT,6,Y,PMTCT,-,-
1419A,HMIS,DHIS,ANC NOT ON ART,Electronic,District,Y,PMTCT,6,Y,PMTCT,-,-
1420A,HMIS,DHIS,ANC ON ART BEFORE ANC,Electronic,District,Y,PMTCT,46,Y,Retention,PMTCT,-
1421A,HMIS,DHIS,ANC PRE ECLAMSIA YES,Electronic,District,Y,PMTCT,6,Y,PMTCT,-,-
1422A,HMIS,DHIS,ANC RECEIVED 2+ TTV DOSES,Electronic,District,Y,PMTCT,46,Y,Retention,PMTCT,-
1423A,HMIS,DHIS,ANC RECEIVED FEFO 120+ TABS,Electronic,District,Y,PMTCT,6,Y,PMTCT,-,-
1424A,HMIS,DHIS,ANC RECIEVED 0 SP DOSES,Electronic,District,Y,PMTCT,6,Y,PMTCT,-,-
1425A,HMIS,DHIS,ANC RECIEVED 1X3 SP TABS,Electronic,District,Y,PMTCT,6,Y,PMTCT,-,-
1426A,HMIS,DHIS,ANC RECIEVED 2X3 SP TABS,Electronic,District,Y,PMTCT,6,Y,PMTCT,-,-
1427A,HMIS,DHIS,ANC RECIEVED ALBENDAZOLE 1 DOSE,Electronic,District,Y,PMTCT,6,Y,PMTCT,-,-
